content_id,content_type,title,category,publish_date,source,source_url,status
cdc_k_295571,knowledge,地震灾后如何开展环境卫生清理？,公共卫生事件,2024-01-09,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/ggws/zrzh/202408/t20240825_295571.html,published
cdc_k_295572,knowledge,认清这四点，你也可以成功戒烟,烟草控制,2021-12-24,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/yckz/jygy/202408/t20240825_295572.html,published
cdc_k_295573,knowledge,“三手烟”危害竟然这么大！,烟草控制,2023-04-10,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/yckz/ycwh/202408/t20240825_295573.html,published
cdc_k_295574,knowledge,吸烟的危害你真的知道吗？吸烟模拟实验给你答案,烟草控制,2024-05-29,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/yckz/ycwh/202408/t20240825_295574.html,published
cdc_k_295575,knowledge,警惕室内烟草烟雾的健康危害,烟草控制,2024-06-11,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/yckz/ycwh/202408/t20240825_295575.html,published
cdc_k_295576,knowledge,青春正好 烟草勿扰 —— 苏炳添、刘婧、关晓彤发出控烟倡议,烟草控制,2024-05-31,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/yckz/wyhj/202408/t20240825_295576.html,published
cdc_k_295577,knowledge,无烟 为成长护航——青少年控烟科普知识,烟草控制,2024-05-30,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/yckz/wyhj/202408/t20240825_295577.html,published
cdc_k_295578,knowledge,守护青春，拒绝烟草 —— 青少年控烟宣传核心信息发布,烟草控制,2024-05-28,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/yckz/wyhj/202408/t20240825_295578.html,published
cdc_k_295579,knowledge,2024年世界无烟日：保护青少年免受烟草危害,烟草控制,2024-05-27,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/yckz/wyhj/202408/t20240825_295579.html,published
cdc_k_295580,knowledge,无烟的家 更多的爱,烟草控制,2023-06-01,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/yckz/wyhj/202408/t20240825_295580.html,published
cdc_k_295581,knowledge,拒绝烟草，为成长护航——苏炳添、刘婧、关晓彤共同发出控烟呼吁,烟草控制,2023-06-01,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/yckz/wyhj/202408/t20240825_295581.html,published
cdc_k_295584,knowledge,6-23月龄婴幼儿辅食喂养指南,营养与健康,2023-11-23,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/yyjk/rqyy/202408/t20240825_295584.html,published
cdc_k_295585,knowledge,我国6~17岁学龄儿童主要食物摄入不均衡,营养与健康,2023-04-18,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/yyjk/rqyy/202408/t20240825_295585.html,published
cdc_k_295586,knowledge,我国6～17岁学龄儿童主要食物摄入量存在地区差异,营养与健康,2023-03-23,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/yyjk/rqyy/202408/t20240825_295586.html,published
