record_quarter,region,avg_temperature,min_temperature,max_temperature,avg_humidity,total_precipitation,avg_wind_speed,record_days
2025-Q2,贵阳市,18.433333333333334,16.0,20.9,78.56666666666666,585.7,3.09,3
2025-Q2,郑州市,25.333333333333332,21.7,29.2,39.2,106.6,2.94,3
2025-Q2,酒泉市,17.966666666666665,12.5,22.9,27.833333333333332,57.0,3.1166666666666667,3
2025-Q2,重庆市,23.166666666666668,19.9,26.3,78.76666666666667,561.3,1.3633333333333333,3
2025-Q2,银川市,18.9,13.8,23.9,31.900000000000002,43.4,2.6733333333333333,3
2025-Q2,长春市,15.699999999999998,9.6,21.8,58.300000000000004,304.1,3.063333333333334,3
2025-Q2,长沙市,23.666666666666668,20.7,26.5,77.46666666666667,680.7,2.1799999999999997,3
2025-Q2,阿勒泰市,15.166666666666666,8.2,22.0,44.866666666666674,66.5,2.2900000000000005,3
2025-Q2,青岛市,18.333333333333332,13.9,23.1,67.73333333333333,242.39999999999998,3.84,3
2025-Q3,三亚市,27.933333333333334,27.3,28.3,84.9,979.8,3.3733333333333335,3
2025-Q3,上海市,29.400000000000002,27.8,31.1,75.13333333333334,459.6,2.6033333333333335,3
2025-Q3,丽江市,16.400000000000002,15.6,17.3,84.13333333333334,918.5,1.1300000000000001,3
2025-Q3,乌鲁木齐市,22.900000000000002,17.2,27.4,41.56666666666666,63.2,2.35,3
2025-Q3,兰州市,21.099999999999998,17.8,24.1,67.86666666666666,256.1,1.3633333333333333,3
2025-Q3,北京市,26.0,23.4,28.4,71.93333333333334,448.8,1.5433333333333332,3
2025-Q3,南京市,28.76666666666667,25.6,30.6,76.26666666666667,534.3,2.566666666666667,3
2025-Q3,南宁市,27.933333333333337,27.6,28.6,83.76666666666667,758.1,2.373333333333333,3
2025-Q3,南昌市,31.066666666666663,28.9,32.5,68.06666666666666,208.5,2.476666666666667,3
2025-Q3,厦门市,28.7,28.4,29.1,80.26666666666667,787.3000000000001,2.6766666666666663,3
2025-Q3,合肥市,29.03333333333333,25.4,31.5,75.2,327.09999999999997,2.473333333333333,3
2025-Q3,吐鲁番市,32.166666666666664,25.9,37.0,22.033333333333335,8.3,2.046666666666667,3
2025-Q3,呼伦贝尔市,17.033333333333335,12.9,20.9,71.89999999999999,329.0,3.1966666666666668,3
2025-Q3,呼和浩特市,19.666666666666664,15.9,22.2,73.56666666666666,482.2,1.41,3
2025-Q3,哈尔滨市,22.03333333333333,18.3,25.7,73.96666666666665,286.1,2.8866666666666667,3
2025-Q3,喀什市,26.03333333333333,22.5,28.8,27.633333333333336,12.0,2.1166666666666667,3
2025-Q3,大连市,25.033333333333335,22.7,26.3,81.23333333333333,606.5,2.6700000000000004,3
2025-Q3,天津市,26.566666666666666,23.6,29.1,72.23333333333333,464.6,1.72,3
2025-Q3,太原市,22.73333333333333,18.4,25.7,72.13333333333333,335.59999999999997,1.6233333333333333,3
2025-Q3,宁波市,29.666666666666668,28.7,31.3,75.1,494.6,2.77,3
2025-Q3,宜昌市,27.566666666666666,24.1,29.8,82.03333333333333,879.0999999999999,1.1766666666666667,3
2025-Q3,广州市,28.233333333333334,27.8,28.6,82.06666666666668,985.1,2.103333333333333,3
2025-Q3,康定市,16.266666666666666,15.0,17.1,87.56666666666666,516.7,0.9899999999999999,3
2025-Q3,成都市,26.099999999999998,23.5,27.6,80.86666666666667,750.0,1.5133333333333334,3
2025-Q3,拉萨市,15.5,13.5,17.0,62.800000000000004,422.2,1.1133333333333333,3
2025-Q3,攀枝花市,24.433333333333334,23.4,25.4,78.26666666666667,808.1,0.8399999999999999,3
2025-Q3,昆明市,18.933333333333334,18.4,19.5,83.36666666666666,868.0,1.6733333333333331,3
2025-Q3,景洪市,25.53333333333333,25.5,25.6,88.96666666666665,1114.5,0.9966666666666666,3
2025-Q3,杭州市,29.53333333333333,27.8,31.5,74.13333333333334,572.4000000000001,2.1566666666666667,3
2025-Q3,桂林市,28.266666666666666,27.3,29.5,76.4,620.9,1.8800000000000001,3
2025-Q3,武汉市,29.76666666666667,25.6,32.6,72.53333333333333,351.8,2.09,3
2025-Q3,沈阳市,24.066666666666666,20.8,26.2,76.76666666666667,488.19999999999993,2.17,3
2025-Q3,济南市,26.700000000000003,22.2,29.8,72.66666666666667,426.1,2.23,3
2025-Q3,海口市,27.900000000000002,27.3,28.2,85.26666666666667,859.5,3.543333333333333,3
2025-Q3,深圳市,27.566666666666663,27.3,28.0,84.86666666666667,1015.3,2.62,3
2025-Q3,漠河市,15.266666666666666,11.4,18.9,75.7,350.7,2.15,3
2025-Q3,石家庄市,26.23333333333333,22.9,28.6,74.86666666666666,340.3,1.49,3
2025-Q3,福州市,29.233333333333334,28.8,29.8,77.53333333333333,760.4,2.0066666666666664,3
2025-Q3,秦皇岛市,24.76666666666667,22.1,26.5,77.83333333333333,488.40000000000003,2.3200000000000003,3
2025-Q3,西宁市,16.933333333333334,14.0,19.7,72.83333333333333,339.7,1.7633333333333334,3
2025-Q3,西安市,26.899999999999995,20.1,31.2,67.26666666666667,326.6,2.21,3
2025-Q3,贵阳市,22.100000000000005,21.1,22.8,82.46666666666667,449.1,3.0566666666666666,3
2025-Q3,郑州市,27.0,21.1,31.3,72.76666666666667,699.0999999999999,2.1266666666666665,3
2025-Q3,酒泉市,21.8,17.7,24.7,40.9,70.89999999999999,2.3699999999999997,3
2025-Q3,重庆市,29.266666666666666,26.3,31.2,72.10000000000001,581.3,1.47,3
2025-Q3,银川市,22.633333333333336,18.9,26.0,63.06666666666666,176.60000000000002,1.9033333333333333,3
2025-Q3,长春市,22.433333333333334,19.0,25.6,75.03333333333333,328.8,2.5233333333333334,3
2025-Q3,长沙市,30.2,27.4,31.8,69.43333333333334,268.9,2.33,3
2025-Q3,阿勒泰市,18.46666666666667,12.5,23.8,46.26666666666666,142.5,2.0966666666666667,3
2025-Q3,青岛市,26.633333333333336,23.1,28.5,79.43333333333332,473.4,3.1233333333333335,3
2025-Q4,三亚市,24.366666666666664,23.1,26.2,77.43333333333332,370.2,4.036666666666666,3
2025-Q4,上海市,15.433333333333332,9.7,22.6,67.2,60.0,2.4466666666666668,3
2025-Q4,丽江市,9.266666666666667,5.7,13.5,72.26666666666667,143.20000000000002,1.7033333333333331,3
2025-Q4,乌鲁木齐市,-0.36666666666666653,-8.1,7.2,68.96666666666665,88.4,1.6733333333333336,3
2025-Q4,兰州市,4.033333333333334,-1.7,10.5,61.73333333333334,83.1,0.9600000000000001,3
2025-Q4,北京市,6.3,-0.8,12.7,54.1,101.1,1.79,3
2025-Q4,南京市,13.033333333333333,7.4,19.6,73.39999999999999,97.89999999999999,2.493333333333333,3
2025-Q4,南宁市,19.933333333333334,17.3,24.2,75.83333333333334,323.2,2.14,3
2025-Q4,南昌市,16.433333333333334,11.4,23.2,70.60000000000001,86.5,2.76,3
2025-Q4,厦门市,22.133333333333336,17.5,27.7,62.76666666666666,70.0,3.453333333333333,3
2025-Q4,合肥市,13.133333333333333,7.9,19.1,73.06666666666668,116.0,2.4433333333333334,3
2025-Q4,吐鲁番市,6.066666666666666,-3.1,16.0,43.63333333333333,5.300000000000001,1.1366666666666665,3
2025-Q4,呼伦贝尔市,-10.5,-22.9,-0.3,69.4,50.8,3.526666666666667,3
2025-Q4,呼和浩特市,-0.19999999999999987,-7.9,7.9,59.166666666666664,60.99999999999999,1.4666666666666666,3
