year,category,indicator_name,indicator_value,unit,source_url,retrieved_date
1993,中城市,慢性病患病率（65岁及以上）,775.5,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,二类农村,慢性病患病率（65岁及以上）,366.4,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,农村合计,慢性病患病率（65岁及以上）,398.2,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,四类农村,慢性病患病率（65岁及以上）,470.9,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,城乡合计,慢性病患病率（65岁及以上）,540.3,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,城市合计,慢性病患病率（65岁及以上）,789.3,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,大城市,慢性病患病率（65岁及以上）,821.6,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,小城市,慢性病患病率（65岁及以上）,757.6,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,一类农村,慢性病患病率（传染病计）,3.3,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,三类农村,慢性病患病率（传染病计）,5.4,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,中城市,慢性病患病率（传染病计）,6.1,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,二类农村,慢性病患病率（传染病计）,5.1,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,农村合计,慢性病患病率（传染病计）,5.4,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,四类农村,慢性病患病率（传染病计）,9.5,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,城乡合计,慢性病患病率（传染病计）,5.3,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,城市合计,慢性病患病率（传染病计）,5.2,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,大城市,慢性病患病率（传染病计）,3.2,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,小城市,慢性病患病率（传染病计）,6.1,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,一类农村,慢性病患病率（先天异常）,0.1,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,三类农村,慢性病患病率（先天异常）,0.1,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,中城市,慢性病患病率（先天异常）,0.7,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,二类农村,慢性病患病率（先天异常）,0.3,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,农村合计,慢性病患病率（先天异常）,0.2,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,四类农村,慢性病患病率（先天异常）,0.3,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,城乡合计,慢性病患病率（先天异常）,0.3,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,城市合计,慢性病患病率（先天异常）,0.7,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,大城市,慢性病患病率（先天异常）,1,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,小城市,慢性病患病率（先天异常）,0.3,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,一类农村,慢性病患病率（其中：心脏病）,7,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,三类农村,慢性病患病率（其中：心脏病）,5.7,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,中城市,慢性病患病率（其中：心脏病）,37.5,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,二类农村,慢性病患病率（其中：心脏病）,4.8,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,农村合计,慢性病患病率（其中：心脏病）,6.1,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,四类农村,慢性病患病率（其中：心脏病）,8.4,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,城乡合计,慢性病患病率（其中：心脏病）,13.1,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,城市合计,慢性病患病率（其中：心脏病）,33.8,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,大城市,慢性病患病率（其中：心脏病）,42,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,小城市,慢性病患病率（其中：心脏病）,22.6,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,一类农村,慢性病患病率（其中：急性胃炎）,12.9,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,三类农村,慢性病患病率（其中：急性胃炎）,17.6,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,中城市,慢性病患病率（其中：急性胃炎）,16.2,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,二类农村,慢性病患病率（其中：急性胃炎）,16.6,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,农村合计,慢性病患病率（其中：急性胃炎）,16.2,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,四类农村,慢性病患病率（其中：急性胃炎）,17.6,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,城乡合计,慢性病患病率（其中：急性胃炎）,16.2,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,城市合计,慢性病患病率（其中：急性胃炎）,16.1,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,大城市,慢性病患病率（其中：急性胃炎）,15.6,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,小城市,慢性病患病率（其中：急性胃炎）,16.5,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,一类农村,慢性病患病率（其中：类关节炎）,7.3,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,三类农村,慢性病患病率（其中：类关节炎）,15.5,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,中城市,慢性病患病率（其中：类关节炎）,21.7,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,二类农村,慢性病患病率（其中：类关节炎）,11.4,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,农村合计,慢性病患病率（其中：类关节炎）,13.1,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,四类农村,慢性病患病率（其中：类关节炎）,21.4,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,城乡合计,慢性病患病率（其中：类关节炎）,13.5,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
1993,城市合计,慢性病患病率（其中：类关节炎）,14.6,‰,https://www.phsciencedata.cn/Share/ky_sjml.jsp?id=a8c95cce-8e40-42f4-9ad0-af6a681a9bd8,2026-07-12
